test	taille	exe	exectime	memory	generer_tableau	afficher_tableau	rechercher
1	21254000	rechercheV2	2.74 84408	100.68	80.54	0.00
1	21254000	rechercheV1	2.74 84328	151.02	60.41	70.48
1	21254000	rechercheV0	3.06 84460	110.75	120.82	0.00
2	23602000	rechercheV1	2.71 93664	161.09	90.61	60.41
2	23602000	rechercheV0	3.04 93500	100.68	151.02	0.00
2	23602000	rechercheV2	3.31 93736	201.36	110.75	0.00
3	24942000	rechercheV2	2.58 98868	50.34	100.68	0.00
3	24942000	rechercheV1	3.30 98888	151.02	140.95	20.14
3	24942000	rechercheV0	3.42 98916	90.61	181.22	0.00
4	13744000	rechercheV0	1.70 55064	20.14	100.68	0.00
4	13744000	rechercheV1	1.70 55236	70.48	50.34	40.27
4	13744000	rechercheV2	1.96 55140	70.48	90.61	0.00
5	17913000	rechercheV2	1.88 71360	90.61	70.48	0.00
5	17913000	rechercheV0	2.34 71360	80.54	70.48	0.00
5	17913000	rechercheV1	2.39 71444	70.48	60.41	40.27
6	28058000	rechercheV2	2.69 110988	100.68	140.95	0.00
6	28058000	rechercheV0	3.66 111088	130.88	181.22	0.00
6	28058000	rechercheV1	3.80 110988	191.29	120.82	80.54
7	8489000	rechercheV2	0.74 34644	40.27	30.20	0.00
7	8489000	rechercheV0	1.10 34632	40.27	30.20	0.00
7	8489000	rechercheV1	1.18 34548	50.34	40.27	30.20
8	8274000	rechercheV0	0.95 33708	30.20	50.34	0.00
8	8274000	rechercheV1	1.07 33700	60.41	40.27	20.14
8	8274000	rechercheV2	1.17 33792	60.41	40.27	0.00
9	31978000	rechercheV0	3.38 126304	241.63	130.88	0.00
9	31978000	rechercheV2	4.18 126360	211.43	191.29	0.00
9	31978000	rechercheV1	4.23 126304	151.02	151.02	0.00
