test	taille	exe	exectime	memory	mmm
1	562000	fus	0.14 10016	1	
1	562000	rap	0.17 5620		1
2	408000	fus	0.12 7644	1	
2	408000	rap	0.13 4412		1
3	972000	fus	0.24 16424	1	
3	972000	rap	0.37 8784		1
4	731000	fus	0.20 12736	1	
4	731000	rap	0.27 6992		1
5	224000	fus	0.05 4732	1	
5	224000	rap	0.05 2972	1	
6	919000	fus	0.22 15676	1	
6	919000	rap	0.35 8412		1
7	830000	fus	0.20 14208	1	
7	830000	rap	0.30 7772		1
8	203000	fus	0.05 4412	1	
8	203000	rap	0.04 2864	1	
9	891000	fus	0.22 15204	1	
9	891000	rap	0.32 8168		1
10	906000	fus	0.22 15440	1	
10	906000	rap	0.34 8316		1
11	368000	fus	0.08 7020	1	
11	368000	rap	0.10 4076		1
12	443000	fus	0.10 8200	1	
12	443000	rap	0.12 4724		1
13	10000	rap	0.00 1272	1	
13	10000	fus	0.00 1396	1	
14	360000	fus	0.09 6904	1	
14	360000	rap	0.10 4016		1
15	467000	fus	0.12 8584	1	
15	467000	rap	0.14 4880		1
16	392000	fus	0.09 7440	1	
16	392000	rap	0.10 4328		1
17	528000	fus	0.13 9528	1	
17	528000	rap	0.15 5308		1
18	134000	fus	0.02 3368	1	
18	134000	rap	0.02 2332	1	
19	78000	rap	0.01 1808	1	
19	78000	fus	0.01 2460	1	
20	387000	fus	0.09 7360	1	
20	387000	rap	0.10 4292		1
21	322000	rap	0.07 3808		1
21	322000	fus	0.08 6308		1
22	938000	fus	0.22 15924	1	
22	938000	rap	0.37 8520		1
23	223000	rap	0.04 2940		1
23	223000	fus	0.05 4764	1	
24	943000	fus	0.24 16028	1	
24	943000	rap	0.36 8628		1
25	756000	fus	0.18 13100	1	
25	756000	rap	0.25 7168		1
26	76000	rap	0.01 1780		1
26	76000	fus	0.01 2420	1	
27	928000	fus	0.26 15812	1	
27	928000	rap	0.38 8548		1
28	672000	fus	0.18 11816	1	
28	672000	rap	0.24 6544		1
29	343000	fus	0.08 6676	1	
29	343000	rap	0.08 3880		1
30	205000	rap	0.04 2800		1
30	205000	fus	0.04 4516	1	
31	538000	fus	0.15 9592	1	
31	538000	rap	0.18 5484		1
32	427000	fus	0.10 7956	1	
32	427000	rap	0.12 4624		1
33	893000	fus	0.24 15264	1	
33	893000	rap	0.35 8164		1
34	249000	fus	0.05 5076		1
34	249000	rap	0.05 3228		1
35	96000	rap	0.01 2004		1
35	96000	fus	0.02 2792	1	
36	194000	rap	0.06 2776		1
36	194000	fus	0.06 4316	1	
37	10000	rap	0.00 1256	1	
37	10000	fus	0.00 1508	1	
38	58000	rap	0.00 1676		1
38	58000	fus	0.01 2192	1	
39	840000	fus	0.22 14480	1	
