test	taille	exe	exectime	memory	mmm
1	21099	fus	0.00 1572	1		
1	21099	rap	0.00 1444	1		
1	21099	ins	0.32 1440			1
2	11029	fus	0.00 1456	1		
2	11029	rap	0.00 1264	1		
2	11029	ins	0.09 1364			1
3	9703	rap	0.00 1364		1	
3	9703	fus	0.00 1444		1	
3	9703	ins	0.07 1328			1
4	1751	ins	0.00 1140	1		
4	1751	rap	0.00 1240	1		
4	1751	fus	0.00 1260	1		
5	18315	fus	0.00 1540		1	
5	18315	rap	0.00 1324		1	
5	18315	ins	0.24 1416			1
6	11776	rap	0.00 1364	1		
6	11776	fus	0.00 1440	1		
6	11776	ins	0.10 1388			1
7	15086	fus	0.00 1544	1		
7	15086	rap	0.00 1308	1		
7	15086	ins	0.16 1404			1
8	26791	rap	0.00 1448		1	
8	26791	fus	0.00 1744	1		
8	26791	ins	0.52 1388			1
9	18047	fus	0.00 1552	1		
9	18047	rap	0.00 1428		1	
9	18047	ins	0.24 1396			1
10	29062	rap	0.00 1464		1	
10	29062	fus	0.00 1740	1		
10	29062	ins	0.62 1428			1
11	17679	fus	0.00 1460		1	
11	17679	rap	0.00 1332		1	
11	17679	ins	0.23 1408			1
12	6071	rap	0.00 1240		1	
12	6071	fus	0.00 1332		1	
12	6071	ins	0.03 1312			1
13	4600	fus	0.00 1428		1	
13	4600	rap	0.00 1316		1	
13	4600	ins	0.02 1332			1
14	23862	fus	0.00 1664	1		
14	23862	rap	0.00 1460		1	
14	23862	ins	0.41 1384			1
15	1890	fus	0.00 1264		1	
15	1890	rap	0.00 1212		1	
15	1890	ins	0.00 1140			1
16	21966	rap	0.00 1352		1	
16	21966	fus	0.00 1620	1		
16	21966	ins	0.35 1368			1
17	26292	rap	0.00 1400	1		
17	26292	fus	0.00 1688	1		
17	26292	ins	0.50 1408			1
18	21186	fus	0.00 1644	1		
18	21186	rap	0.00 1344	1		
18	21186	ins	0.32 1404			1
19	17720	fus	0.00 1592	1		
19	17720	rap	0.00 1364	1		
19	17720	ins	0.22 1268			1
20	30462	rap	0.00 1504	1		
20	30462	fus	0.00 1796	1		
20	30462	ins	0.67 1416			1
21	16993	rap	0.00 1408		1	
21	16993	fus	0.00 1524	1		
21	16993	ins	0.21 1408			1
22	1254	rap	0.00 1272			1
22	1254	ins	0.00 1272			1
22	1254	fus	0.00 1328			1
23	8361	fus	0.00 1364		1	
23	8361	rap	0.00 1192		1	
23	8361	ins	0.05 1344			1
24	19410	rap	0.00 1332	1		
24	19410	fus	0.00 1596	1		
24	19410	ins	0.28 1448			1
25	29189	fus	0.00 1644	1		
25	29189	rap	0.00 1468		1	
25	29189	ins	0.62 1512			1
26	25855	fus	0.00 1672	1		
26	25855	rap	0.00 1440		1	
26	25855	ins	0.48 1460			1
27	11504	fus	0.00 1416	1		
27	11504	rap	0.00 1384	1		
27	11504	ins	0.10 1348			1
28	31544	rap	0.00 1424		1	
28	31544	fus	0.00 1680	1		
28	31544	ins	0.72 1500			1
29	11048	fus	0.00 1484	1		
29	11048	rap	0.00 1360	1		
29	11048	ins	0.08 1320			1
30	29714	rap	0.00 1428	1		
30	29714	fus	0.00 1744	1		
30	29714	ins	0.64 1412			1
31	24487	rap	0.00 1368	1		
31	24487	fus	0.00 1660	1		
31	24487	ins	0.43 1472			1
32	2350	rap	0.00 1300	1		
32	2350	fus	0.00 1304	1		
32	2350	ins	0.00 1304			1
33	24869	fus	0.00 1624	1		
33	24869	rap	0.00 1492	1		
33	24869	ins	0.44 1368			1
34	23001	fus	0.00 1720	1		
34	23001	rap	0.00 1472	1		
34	23001	ins	0.38 1380			1
35	27916	rap	0.00 1412	1		
35	27916	fus	0.00 1688	1		
35	27916	ins	0.56 1404			1
36	23852	rap	0.00 1444		1	
36	23852	fus	0.00 1628	1		
36	23852	ins	0.41 1440			1
37	30605	fus	0.00 1712	1		
37	30605	rap	0.00 1416	1		
37	30605	ins	0.69 1468			1
38	22775	rap	0.00 1444		1	
38	22775	fus	0.00 1716		1	
38	22775	ins	0.38 1448			1
39	29835	rap	0.00 1488		1	
39	29835	fus	0.00 1764	1		
39	29835	ins	0.65 1436			1
40	23135	fus	0.00 1604		1	
40	23135	rap	0.00 1412		1	
40	23135	ins	0.40 1412			1
41	9197	fus	0.00 1404	1		
41	9197	rap	0.00 1324	1		
41	9197	ins	0.06 1352			1
42	22943	rap	0.00 1308	1		
42	22943	fus	0.00 1544	1		
42	22943	ins	0.38 1404			1
43	25318	fus	0.00 1636		1	
43	25318	rap	0.00 1480		1	
43	25318	ins	0.47 1396			1
44	32611	rap	0.00 1504	1		
44	32611	fus	0.00 1780	1		
44	32611	ins	0.78 1492			1
45	19590	fus	0.00 1616	1		
45	19590	rap	0.00 1352	1		
45	19590	ins	0.28 1412			1
46	8502	fus	0.00 1416	1		
46	8502	rap	0.00 1324	1		
46	8502	ins	0.05 1344			1
47	6626	rap	0.00 1284	1		
47	6626	fus	0.00 1424	1		
47	6626	ins	0.03 1316			1
48	31238	rap	0.00 1444	1		
48	31238	fus	0.00 1780	1		
48	31238	ins	0.76 1432			1
49	14319	fus	0.00 1408	1		
49	14319	rap	0.00 1308	1		
49	14319	ins	0.14 1380			1
50	19807	rap	0.00 1412	1		
50	19807	fus	0.00 1588	1		
50	19807	ins	0.30 1420			1
51	18189	rap	0.00 1400	1		
51	18189	fus	0.00 1592	1		
51	18189	ins	0.24 1428			1
52	18072	fus	0.00 1556	1		
52	18072	rap	0.00 1328	1		
52	18072	ins	0.24 1344			1
53	23228	rap	0.00 1460		1	
53	23228	fus	0.00 1608		1	
53	23228	ins	0.40 1436			1
54	9583	rap	0.00 1324		1	
54	9583	fus	0.00 1468		1	
54	9583	ins	0.07 1248			1
55	21346	fus	0.00 1644		1	
55	21346	rap	0.00 1348		1	
55	21346	ins	0.33 1420			1
56	900	rap	0.00 1292		1	
56	900	fus	0.00 1300		1	
56	900	ins	0.00 1272		1	
57	29214	rap	0.00 1428		1	
57	29214	fus	0.00 1644	1		
57	29214	ins	0.63 1496			1
58	18007	fus	0.00 1604	1		
58	18007	rap	0.00 1400	1		
58	18007	ins	0.24 1380			1
59	204	rap	0.00 1272			1
59	204	fus	0.00 1360			1
59	204	ins	0.00 1272			1
60	29642	rap	0.00 1428		1	
60	29642	fus	0.00 1784	1		
60	29642	ins	0.65 1488			1
61	32313	rap	0.00 1484	1		
61	32313	fus	0.00 1800	1		
61	32313	ins	0.76 1484			1
62	23471	fus	0.00 1552	1		
62	23471	rap	0.00 1420	1		
62	23471	ins	0.40 1456			1
63	17488	fus	0.00 1460	1		
63	17488	rap	0.00 1432	1		
63	17488	ins	0.22 1388			1
64	30120	rap	0.00 1520	1		
64	30120	fus	0.00 1768	1		
64	30120	ins	0.66 1524			1
65	1890	rap	0.00 1248			1
65	1890	fus	0.00 1264	1		
65	1890	ins	0.00 1308			1
66	27772	rap	0.00 1416	1		
66	27772	fus	0.00 1756	1		
66	27772	ins	0.56 1492			1
67	31111	rap	0.00 1372	1		
67	31111	fus	0.00 1716	1		
67	31111	ins	0.70 1480			1
68	10048	fus	0.00 1388	1		
68	10048	rap	0.00 1328	1		
68	10048	ins	0.07 1260			1
69	27473	rap	0.00 1400		1	
69	27473	fus	0.00 1708	1		
69	27473	ins	0.55 1412			1
70	10245	rap	0.00 1376	1		
70	10245	fus	0.00 1432	1		
70	10245	ins	0.08 1276			1
71	31900	fus	0.00 1788	1		
71	31900	rap	0.00 1508		1	
71	31900	ins	0.74 1508			1
72	5748	fus	0.00 1376	1		
72	5748	rap	0.00 1296	1		
72	5748	ins	0.02 1220			1
73	14130	fus	0.00 1476	1		
73	14130	rap	0.00 1388		1	
73	14130	ins	0.14 1388			1
74	17769	fus	0.00 1564	1		
74	17769	rap	0.00 1320		1	
74	17769	ins	0.23 1340			1
75	8934	fus	0.00 1432	1		
75	8934	rap	0.00 1264	1		
75	8934	ins	0.06 1196			1
76	21612	rap	0.00 1420	1		
76	21612	fus	0.00 1576	1		
76	21612	ins	0.34 1368			1
77	14980	fus	0.00 1552	1		
77	14980	rap	0.00 1396		1	
77	14980	ins	0.16 1404			1
78	27821	rap	0.00 1472	1		
78	27821	fus	0.00 1708	1		
78	27821	ins	0.60 1492			1
79	2763	rap	0.00 1300	1		
79	2763	fus	0.00 1276			1
79	2763	ins	0.00 1212			1
80	10868	rap	0.00 1212	1		
80	10868	fus	0.00 1448	1		
80	10868	ins	0.09 1380			1
81	22589	fus	0.00 1712		1	
81	22589	rap	0.00 1476		1	
