test	taille	exe	exectime	memory	mmm
1	15933	ins	0.00 1388			1
1	15933	fus	0.00 1544	1		
1	15933	rap	0.53 2412		1	
2	12818	fus	0.00 1492	1		
2	12818	ins	0.00 1384	1		
2	12818	rap	0.34 2176		1	
3	17368	fus	0.00 1544	1		
3	17368	ins	0.00 1364			1
3	17368	rap	0.62 2452		1	
4	7432	fus	0.00 1300			
4	7432	ins	0.00 1292			
4	7432	rap	0.12 1700		1	
5	31068	ins	0.00 1528	1		
5	31068	fus	0.00 1808	1		
5	31068	rap	1.97 3432		1	
6	13102	fus	0.00 1560	1		
6	13102	ins	0.00 1384			1
6	13102	rap	0.36 2092		1	
7	9309	fus	0.00 1404	1		
7	9309	ins	0.00 1252	1		
7	9309	rap	0.18 1908		1	
8	22927	ins	0.00 1440			1
8	22927	fus	0.00 1680	1		
8	22927	rap	1.10 2876		1	
9	30494	ins	0.00 1464			1
9	30494	fus	0.00 1664	1		
9	30494	rap	1.93 3400		1	
10	28456	fus	0.00 1716	1		
10	28456	ins	0.00 1400			1
10	28456	rap	1.65 3252		1	
11	18147	ins	0.00 1368			1
11	18147	fus	0.00 1552	1		
11	18147	rap	0.68 2560		1	
12	29818	ins	0.00 1532	1		
12	29818	fus	0.00 1708	1		
12	29818	rap	1.88 3296		1	
13	11954	fus	0.00 1444			1
13	11954	ins	0.00 1340			1
13	11954	rap	0.29 2036		1	
14	13457	ins	0.00 1304	1		
14	13457	fus	0.00 1520	1		
14	13457	rap	0.38 2192		1	
15	20888	fus	0.00 1584	1		
15	20888	ins	0.00 1292	1		
15	20888	rap	0.89 2744		1	
16	26229	fus	0.00 1668	1		
16	26229	ins	0.00 1388			1
16	26229	rap	1.41 3112		1	
17	6483	fus	0.00 1384	1		
17	6483	ins	0.00 1224	1		
17	6483	rap	0.08 1624		1	
18	13120	ins	0.00 1352			1
18	13120	fus	0.00 1480	1		
18	13120	rap	0.36 2180		1	
19	28188	fus	0.00 1676	1		
19	28188	ins	0.00 1400			1
19	28188	rap	1.63 3268		1	
20	1600	fus	0.00 1332	1		
20	1600	rap	0.00 1292			1
20	1600	ins	0.00 1140			1
21	23354	fus	0.00 1608	1		
21	23354	ins	0.00 1380	1		
21	23354	rap	1.14 2868		1	
22	23055	ins	0.00 1380			1
22	23055	fus	0.00 1636	1		
22	23055	rap	1.09 2848		1	
23	7416	fus	0.00 1344	1		
23	7416	ins	0.00 1316	1		
23	7416	rap	0.11 1712		1	
24	29373	ins	0.00 1408			1
24	29373	fus	0.00 1820	1		
24	29373	rap	1.76 3360		1	
25	32148	ins	0.00 1500			1
25	32148	fus	0.00 1792	1		
25	32148	rap	2.13 3528		1	
26	10048	fus	0.00 1416	1		
26	10048	ins	0.00 1348	1		
26	10048	rap	0.21 1988		1	
27	24157	ins	0.00 1372			1
27	24157	fus	0.00 1672	1		
27	24157	rap	1.20 2980		1	
28	21646	ins	0.00 1348	1		
28	21646	fus	0.00 1652	1		
28	21646	rap	0.96 2792		1	
29	24652	ins	0.00 1492			1
29	24652	fus	0.00 1576	1		
29	24652	rap	1.24 2912		1	
30	9433	ins	0.00 1300	1		
30	9433	fus	0.00 1440	1		
30	9433	rap	0.18 1920		1	
31	9293	fus	0.00 1328	1		
31	9293	ins	0.00 1368			1
31	9293	rap	0.18 1776		1	
32	20282	ins	0.00 1412			1
32	20282	fus	0.00 1604	1		
32	20282	rap	0.84 2552		1	
33	1075	ins	0.00 1208	1		
33	1075	fus	0.00 1248	1		
33	1075	rap	0.00 1368		1	
34	20239	fus	0.00 1608			1
34	20239	ins	0.00 1416			1
34	20239	rap	0.84 2716		1	
35	27326	fus	0.00 1672	1		
35	27326	ins	0.00 1396			1
35	27326	rap	1.53 3208		1	
36	6704	fus	0.00 1348	1		
36	6704	ins	0.00 1252	1		
36	6704	rap	0.10 1596		1	
37	25754	ins	0.00 1464			1
37	25754	fus	0.00 1636	1		
37	25754	rap	1.36 3080		1	
38	26129	ins	0.00 1484			1
38	26129	fus	0.00 1692	1		
38	26129	rap	1.41 3104		1	
39	4536	fus	0.00 1356	1		
39	4536	ins	0.00 1324	1		
39	4536	rap	0.04 1496		1	
40	19075	fus	0.00 1540	1		
40	19075	ins	0.00 1332	1		
40	19075	rap	0.74 2540		1	
41	27790	fus	0.00 1724	1		
41	27790	ins	0.00 1420			1
41	27790	rap	1.58 3136		1	
42	3994	ins	0.00 1316	1		
42	3994	fus	0.00 1372	1		
42	3994	rap	0.03 1408		1	
43	30692	ins	0.00 1368	1		
43	30692	fus	0.00 1792	1		
43	30692	rap	1.94 3384		1	
44	16318	fus	0.00 1548			1
44	16318	ins	0.00 1312			1
44	16318	rap	0.55 2340		1	
45	31917	ins	0.00 1488			1
45	31917	fus	0.00 1792			1
45	31917	rap	2.09 3528		1	
46	335	ins	0.00 1232			1
46	335	fus	0.00 1296			1
46	335	rap	0.00 1268			1
47	14524	ins	0.00 1396	1		
47	14524	fus	0.00 1584	1		
47	14524	rap	0.44 2312		1	
48	31144	ins	0.00 1532			1
48	31144	fus	0.00 1808	1		
48	31144	rap	1.99 3380		1	
49	12351	fus	0.00 1476			1
49	12351	ins	0.00 1380			1
49	12351	rap	0.31 1988		1	
50	25582	ins	0.00 1452			
50	25582	fus	0.00 1712			
50	25582	rap	1.36 3028		1	
51	13564	fus	0.00 1464	1		
51	13564	ins	0.00 1400	1		
51	13564	rap	0.38 2220		1	
52	25958	ins	0.00 1456			1
52	25958	fus	0.00 1700	1		
52	25958	rap	1.38 3072		1	
53	12126	ins	0.00 1344	1		
53	12126	fus	0.00 1508	1		
53	12126	rap	0.30 2088		1	
54	30218	ins	0.00 1432			1
54	30218	fus	0.00 1708	1		
54	30218	rap	1.88 3388		1	
55	13563	fus	0.00 1468	1		
55	13563	ins	0.00 1288			1
55	13563	rap	0.37 2144		1	
56	31736	ins	0.00 1476			1
56	31736	fus	0.00 1784	1		
56	31736	rap	2.08 3480		1	
57	30756	ins	0.00 1472			1
57	30756	fus	0.00 1844	1		
57	30756	rap	1.94 3416		1	
58	24617	ins	0.00 1480	1		
58	24617	fus	0.00 1636	1		
58	24617	rap	1.24 2924		1	
59	22874	ins	0.00 1468			1
59	22874	fus	0.00 1616	1		
59	22874	rap	1.08 2784		1	
60	31003	ins	0.00 1428			1
60	31003	fus	0.00 1776	1		
60	31003	rap	1.97 3436		1	
61	556	rap	0.00 1300		1	
61	556	ins	0.00 1240		1	
61	556	fus	0.00 1264		1	
62	20798	fus	0.00 1564	1		
62	20798	ins	0.00 1444	1		
62	20798	rap	0.88 2744		1	
63	30758	fus	0.00 1804			1
63	30758	ins	0.00 1492			1
63	30758	rap	1.94 3292		1	
64	24723	ins	0.00 1320			1
64	24723	fus	0.00 1632	1		
64	24723	rap	1.25 3036		1	
65	4342	ins	0.00 1216	1		
65	4342	fus	0.00 1348	1		
65	4342	rap	0.04 1552		1	
66	23775	ins	0.00 1368			1
66	23775	fus	0.00 1688	1		
66	23775	rap	1.16 2796		1	
67	47	rap	0.00 1180			1
67	47	fus	0.00 1188			1
67	47	ins	0.00 1280			1
68	15354	fus	0.00 1528	1		
68	15354	ins	0.00 1316	1		
68	15354	rap	0.48 2252		1	
69	21623	ins	0.00 1404	1		
69	21623	fus	0.00 1576	1		
69	21623	rap	0.96 2808		1	
70	8608	fus	0.00 1388	1		
70	8608	ins	0.00 1304			1
70	8608	rap	0.15 1788		1	
71	25034	ins	0.00 1464	1		
71	25034	fus	0.00 1680	1		
71	25034	rap	1.28 3032		1	
72	22739	fus	0.00 1636	1		
72	22739	ins	0.00 1464	1		
72	22739	rap	1.07 2796		1	
73	15718	fus	0.00 1568			1
73	15718	ins	0.00 1408			1
73	15718	rap	0.51 2336		1	
74	14725	ins	0.00 1352	1		
74	14725	fus	0.00 1472	1		
74	14725	rap	0.44 2260		1	
75	2830	ins	0.00 1252	1		
75	2830	fus	0.00 1296	1		
75	2830	rap	0.02 1456		1	
76	7128	fus	0.00 1392	1		
76	7128	ins	0.00 1308			1
76	7128	rap	0.10 1672		1	
77	15044	fus	0.00 1420	1		
77	15044	ins	0.00 1316	1		
77	15044	rap	0.46 2304		1	
78	25577	fus	0.00 1588	1		
78	25577	ins	0.00 1464	1		
78	25577	rap	1.34 2972		1	
79	5189	ins	0.00 1304	1		
79	5189	fus	0.00 1340	1		
79	5189	rap	0.06 1660		1	
80	2473	fus	0.00 1296	1		
80	2473	ins	0.00 1252	1		
80	2473	rap	0.01 1352		1	
81	29287	fus	0.00 1696	1		
81	29287	ins	0.00 1468			1
81	29287	rap	1.76 3296		1	
82	3917	fus	0.00 1372	1		
82	3917	ins	0.00 1256			1
82	3917	rap	0.03 1468		1	
83	25068	ins	0.00 1476			1
83	25068	fus	0.00 1684	1		
83	25068	rap	1.28 3048		1	
84	1807	fus	0.00 1332	1		
84	1807	ins	0.00 1192	1		
84	1807	rap	0.00 1296		1	
85	16123	ins	0.00 1304			1
85	16123	fus	0.00 1536	1		
85	16123	rap	0.54 2380		1	
86	7353	ins	0.00 1292	1		
86	7353	fus	0.00 1400	1		
86	7353	rap	0.11 1780		1	
87	24796	ins	0.00 1380			1
87	24796	fus	0.00 1624	1		
87	24796	rap	1.26 3028		1	
88	23421	ins	0.00 1456			1
88	23421	fus	0.00 1620	1		
88	23421	rap	1.13 2896		1	
89	6037	fus	0.00 1348	1		
89	6037	ins	0.00 1232	1		
89	6037	rap	0.07 1672		1	
90	24858	fus	0.00 1744			1
90	24858	ins	0.00 1380			1
90	24858	rap	1.27 2980		1	
91	13175	ins	0.00 1376			1
91	13175	fus	0.00 1484	1		
91	13175	rap	0.36 2108		1	
92	30603	fus	0.00 1740	1		
92	30603	ins	0.00 1508			1
92	30603	rap	1.95 3408		1	
93	9026	fus	0.00 1396			1
93	9026	ins	0.00 1344			1
93	9026	rap	0.16 1804		1	
94	362	fus	0.00 1284		1	
94	362	rap	0.00 1308		1	
94	362	ins	0.00 1300		1	
95	2108	ins	0.00 1196	1		
95	2108	fus	0.00 1292	1		
95	2108	rap	0.00 1424		1	
96	26886	ins	0.00 1492	1		
96	26886	fus	0.00 1712	1		
96	26886	rap	1.48 3184		1	
97	24107	ins	0.00 1444			1
97	24107	fus	0.00 1656			1
97	24107	rap	1.20 2992		1	
98	2047	ins	0.00 1216	1		
98	2047	fus	0.00 1348	1		
98	2047	rap	0.00 1316		1	
99	20847	ins	0.00 1448			1
99	20847	fus	0.00 1600	1		
99	20847	rap	0.89 2744		1	
100	1676	fus	0.00 1336	1		
100	1676	ins	0.00 1212	1		
100	1676	rap	0.00 1376		1	
101	1812	ins	0.00 1212	1		
101	1812	fus	0.00 1336	1		
101	1812	rap	0.00 1304		1	
102	30469	ins	0.00 1496			1
102	30469	fus	0.00 1660	1		
102	30469	rap	1.93 3336		1	
103	13234	fus	0.00 1464	1		
103	13234	ins	0.00 1384			1
103	13234	rap	0.36 2200		1	
