test	taille	exe	exectime	memory	mmm
1	1000	fus	0.00 1248		1	
1	1000	rap	0.00 1344		1	
1	1000	ins	0.00 1132			1
2	42000	fus	0.00 1916	1		
2	42000	ins	2.65 1564			1
2	42000	rap	2.95 4200		1	
3	14000	fus	0.00 1448	1		
3	14000	ins	0.28 1384			1
3	14000	rap	0.32 2224		1	
4	20000	fus	0.00 1568	1		
4	20000	ins	0.60 1440			1
4	20000	rap	0.66 2500		1	
5	21000	fus	0.00 1564	1		
5	21000	ins	0.65 1424			1
5	21000	rap	0.72 2752		1	
6	18000	fus	0.00 1568	1		
6	18000	ins	0.48 1324			1
6	18000	rap	0.53 2512		1	
7	8000	fus	0.00 1476	1		
7	8000	ins	0.10 1336			1
7	8000	rap	0.10 1748		1	
8	13000	fus	0.00 1492	1		
8	13000	ins	0.25 1220			1
8	13000	rap	0.28 2156		1	
9	32000	fus	0.00 1812	1		
9	32000	ins	1.52 1504			1
9	32000	rap	1.69 3484		1	
10	7000	fus	0.00 1380	1		
10	7000	ins	0.07 1272			1
10	7000	rap	0.08 1708		1	
11	0	ins	0.00 1272	1		
11	0	rap	0.00 1256	1		
11	0	fus	0.00 1180	1		
12	44000	fus	0.00 2044	1		
12	44000	ins	2.89 1600			1
12	44000	rap	3.23 4296		1	
13	55000	fus	0.00 2144	1		
13	55000	ins	4.61 1612			1
13	55000	rap	5.16 5088		1	
14	54000	fus	0.00 2156	1		
14	54000	ins	4.44 1684			1
14	54000	rap	4.92 5024		1	
15	23000	fus	0.00 1640	1		
15	23000	ins	0.80 1464			1
15	23000	rap	0.89 2780		1	
16	5000	fus	0.00 1260	1		
16	5000	ins	0.04 1216		1	
16	5000	rap	0.04 1520		1	
17	40000	fus	0.00 1888	1		
17	40000	ins	2.43 1540			1
17	40000	rap	2.68 3988		1	
18	4000	fus	0.00 1320	1		
18	4000	ins	0.02 1256			1
18	4000	rap	0.02 1476		1	
19	50000	fus	0.01 1964	1		
19	50000	ins	4.03 1684			1
19	50000	rap	4.36 4764		1	
20	50000	fus	0.00 2072	1		
20	50000	ins	3.86 1644			1
20	50000	rap	4.33 4760		1	
21	13000	fus	0.00 1460	1		
21	13000	ins	0.25 1324			1
21	13000	rap	0.29 2152		1	
22	13000	fus	0.00 1488	1		
22	13000	ins	0.27 1348			1
